Sr.No.,Prediction
23509,FALSE
38928,FALSE
23796,FALSE
31209,TRUE
37938,TRUE
46330,FALSE
31812,FALSE
29778,FALSE
27171,FALSE
42282,FALSE
48759,FALSE
35835,FALSE
32756,FALSE
48499,FALSE
25992,FALSE
32463,FALSE
11849,FALSE
29589,FALSE
35050,FALSE
16308,FALSE
6372,TRUE
15100,FALSE
28380,FALSE
3190,FALSE
7058,FALSE
2861,FALSE
21466,FALSE
39004,TRUE
15318,FALSE
43617,FALSE
6661,FALSE
2340,FALSE
6266,FALSE
18239,FALSE
34636,FALSE
25828,FALSE
39633,FALSE
22496,FALSE
29676,FALSE
41502,FALSE
14562,TRUE
12677,FALSE
21063,TRUE
22403,FALSE
28796,FALSE
48548,TRUE
31704,FALSE
23751,FALSE
34709,FALSE
4477,FALSE
35016,FALSE
23362,FALSE
1464,TRUE
3724,FALSE
15298,TRUE
12305,FALSE
34667,FALSE
27158,FALSE
47599,FALSE
6037,TRUE
33854,TRUE
2223,FALSE
24005,FALSE
11271,FALSE
35504,FALSE
2638,FALSE
36896,FALSE
28854,TRUE
9705,FALSE
36458,FALSE
28027,FALSE
7675,FALSE
8052,FALSE
38975,FALSE
37574,FALSE
2051,FALSE
15669,FALSE
24489,TRUE
349,FALSE
12194,FALSE
13381,TRUE
26047,TRUE
46586,FALSE
33607,FALSE
32271,FALSE
9189,TRUE
29769,FALSE
25302,TRUE
7997,FALSE
31431,FALSE
9994,TRUE
652,TRUE
37767,FALSE
18644,FALSE
48235,FALSE
11986,FALSE
38889,FALSE
37435,FALSE
25027,TRUE
8819,FALSE
31644,FALSE
28674,TRUE
8945,TRUE
16683,TRUE
46744,TRUE
47643,FALSE
33504,FALSE
29097,FALSE
657,FALSE
5030,FALSE
12697,FALSE
31002,FALSE
41620,FALSE
42413,FALSE
20859,FALSE
26480,TRUE
45159,FALSE
18345,FALSE
16108,FALSE
11921,FALSE
28963,FALSE
1153,TRUE
5809,FALSE
30354,FALSE
12834,FALSE
35929,FALSE
16496,FALSE
28990,TRUE
36718,FALSE
11384,FALSE
18839,FALSE
30484,FALSE
9644,FALSE
27381,FALSE
30744,FALSE
36689,FALSE
21745,FALSE
35562,FALSE
3063,FALSE
21263,FALSE
6699,FALSE
23578,FALSE
36172,FALSE
26465,FALSE
15415,FALSE
9297,FALSE
20793,FALSE
33572,FALSE
24891,FALSE
40683,FALSE
44253,TRUE
21409,FALSE
30152,FALSE
27295,FALSE
22129,FALSE
27969,FALSE
40457,FALSE
6378,FALSE
103,FALSE
14441,TRUE
18065,FALSE
45530,FALSE
32704,FALSE
23201,FALSE
21664,FALSE
42475,FALSE
4952,FALSE
22051,FALSE
9519,TRUE
48801,FALSE
39487,FALSE
18758,FALSE
18881,FALSE
2187,FALSE
3085,FALSE
34671,FALSE
12372,FALSE
42079,FALSE
35225,FALSE
1768,FALSE
1453,FALSE
15576,FALSE
6833,FALSE
24742,FALSE
23689,FALSE
33244,FALSE
41743,TRUE
26747,FALSE
358,FALSE
24676,FALSE
20416,FALSE
22841,FALSE
30585,FALSE
10177,FALSE
32284,FALSE
15936,FALSE
6992,FALSE
34099,FALSE
26307,FALSE
35471,FALSE
25610,TRUE
9370,FALSE
39128,TRUE
16090,FALSE
1774,FALSE
26457,FALSE
38868,FALSE
28111,FALSE
28837,TRUE
27203,FALSE
29380,TRUE
23433,FALSE
17136,FALSE
30468,FALSE
13658,TRUE
514,FALSE
19920,TRUE
1544,FALSE
42759,FALSE
22551,FALSE
29638,FALSE
8681,FALSE
39955,FALSE
35565,FALSE
9120,TRUE
4879,FALSE
38970,FALSE
24956,FALSE
29760,TRUE
46115,TRUE
19921,FALSE
44753,FALSE
29356,FALSE
48012,FALSE
46153,TRUE
15627,FALSE
23220,FALSE
5898,FALSE
20642,FALSE
40642,FALSE
46018,FALSE
29439,FALSE
46096,FALSE
44511,FALSE
46228,FALSE
6040,FALSE
38064,FALSE
33858,FALSE
19188,FALSE
5980,FALSE
16074,FALSE
15779,FALSE
18203,FALSE
40159,TRUE
25519,FALSE
33831,FALSE
37019,FALSE
17717,FALSE
9972,FALSE
33910,FALSE
2358,FALSE
3722,FALSE
3231,FALSE
44707,FALSE
31133,FALSE
36043,FALSE
27889,FALSE
36920,FALSE
34123,TRUE
33983,TRUE
5614,FALSE
10770,TRUE
44572,FALSE
5959,FALSE
48752,FALSE
24845,FALSE
47139,TRUE
21321,FALSE
40542,TRUE
1884,TRUE
33582,FALSE
43194,FALSE
14238,FALSE
46337,FALSE
2874,FALSE
32147,FALSE
30854,TRUE
19787,FALSE
10984,FALSE
4410,TRUE
46705,FALSE
45350,FALSE
47662,FALSE
1863,FALSE
11323,TRUE
30346,FALSE
44362,FALSE
3122,FALSE
34490,FALSE
34612,FALSE
1343,TRUE
42513,FALSE
26826,TRUE
45119,FALSE
40731,TRUE
10063,FALSE
26188,FALSE
17934,FALSE
33914,FALSE
28180,TRUE
48481,FALSE
5821,FALSE
44946,FALSE
28507,FALSE
11358,FALSE
4673,FALSE
30353,FALSE
10650,FALSE
22348,FALSE
3346,TRUE
33544,FALSE
741,FALSE
11527,FALSE
29961,TRUE
8353,TRUE
15279,FALSE
40525,FALSE
20820,TRUE
15471,FALSE
58,TRUE
19737,FALSE
46231,FALSE
39011,FALSE
26892,FALSE
38033,TRUE
25582,FALSE
8889,FALSE
36102,FALSE
27132,FALSE
24254,FALSE
41790,FALSE
35767,FALSE
9720,FALSE
32527,TRUE
24497,TRUE
9977,FALSE
22713,FALSE
40520,FALSE
45488,FALSE
43947,FALSE
2684,FALSE
37646,FALSE
7395,TRUE
12430,FALSE
3440,FALSE
14160,FALSE
32848,FALSE
32025,TRUE
19272,FALSE
3127,FALSE
24879,FALSE
16209,TRUE
8440,FALSE
32769,FALSE
36661,FALSE
3899,FALSE
44342,TRUE
22202,FALSE
30797,FALSE
21070,FALSE
4869,TRUE
41360,TRUE
16705,FALSE
40880,FALSE
30655,FALSE
22805,TRUE
45652,FALSE
20730,FALSE
2990,FALSE
3327,FALSE
35224,FALSE
10336,FALSE
25591,TRUE
5411,TRUE
19240,FALSE
26159,FALSE
43107,TRUE
47484,FALSE
1937,FALSE
27174,FALSE
20041,TRUE
29547,FALSE
41340,FALSE
38207,FALSE
37930,TRUE
19717,FALSE
43472,FALSE
20860,FALSE
17461,FALSE
11689,FALSE
20638,FALSE
36666,FALSE
17804,FALSE
22458,TRUE
6638,TRUE
