index,target
0,0
1,1
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,1
10,1
11,0
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,1
23,1
24,1
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,1
33,1
34,0
35,0
36,1
37,0
38,1
39,0
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,0
65,1
66,1
67,1
68,1
69,0
70,0
71,0
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,1
80,0
81,1
82,1
83,0
84,1
85,0
86,1
87,0
88,1
89,1
90,0
91,0
92,0
93,1
94,0
95,0
96,0
97,1
98,1
99,1
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,1
111,0
112,0
113,1
114,1
115,0
116,0
117,1
118,1
119,0
120,1
121,0
122,0
123,0
124,0
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,0
133,1
134,1
135,0
136,1
137,0
138,0
139,0
140,0
141,1
142,1
143,1
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,1
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,1
168,1
169,1
170,0
171,0
172,0
173,1
174,0
175,1
176,1
177,0
178,0
179,1
180,0
181,0
182,1
183,0
184,0
185,1
186,0
187,1
188,0
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,1
205,1
206,1
207,1
208,0
209,0
210,0
211,0
212,1
213,1
214,0
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,1
233,1
234,0
235,1
236,0
237,0
238,0
239,1
240,0
241,1
242,0
243,1
244,0
245,0
246,1
247,0
248,1
249,0
250,0
251,1
252,1
253,0
254,0
255,1
256,0
257,1
258,1
259,0
260,1
261,1
262,0
263,1
264,0
265,1
266,1
267,0
268,0
269,0
270,1
271,1
272,0
273,0
274,1
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,1
285,1
286,1
287,1
288,0
289,1
290,1
291,0
292,1
293,0
294,0
295,1
296,0
297,0
298,0
299,0
300,0
301,0
302,1
303,0
304,1
305,0
306,0
307,0
308,1
309,0
310,0
311,0
312,0
313,0
314,1
315,0
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,1
325,1
326,0
327,1
328,1
329,0
330,0
331,0
332,0
333,0
334,0
335,1
336,1
337,0
338,0
339,0
340,1
341,0
342,0
343,0
344,1
345,0
346,1
347,0
348,0
349,0
350,0
351,0
352,1
353,1
354,1
355,0
356,0
357,1
358,0
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,0
374,0
375,1
376,1
377,0
378,0
379,0
380,0
381,1
382,1
383,0
384,0
385,0
386,0
387,0
388,0
389,1
390,1
391,1
392,0
393,0
394,0
395,1
396,0
397,0
398,0
399,1
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,1
408,1
409,0
410,1
411,1
412,0
413,0
414,0
415,0
416,0
417,1
418,1
419,0
420,0
421,1
422,1
423,0
424,0
425,0
426,0
427,1
428,1
429,0
430,0
431,1
432,0
433,0
434,0
435,0
436,1
437,0
438,0
439,0
440,0
441,1
442,0
443,0
444,0
445,1
446,1
447,0
448,1
449,1
450,0
451,0
452,0
453,0
454,1
455,0
456,1
457,1
458,1
459,1
460,1
461,0
462,0
463,1
464,0
465,1
466,0
467,0
468,1
469,1
470,1
471,1
472,1
473,0
474,1
475,1
476,1
477,1
478,0
479,0
480,0
481,0
482,1
483,1
484,1
485,1
486,0
487,1
488,1
489,0
490,1
491,1
492,1
493,1
494,0
495,1
496,0
497,1
498,1
499,0
500,0
501,1
502,0
503,1
504,0
505,0
506,0
507,1
508,0
509,0
510,0
511,0
512,1
513,0
514,0
515,0
516,0
517,1
518,1
519,1
520,0
521,0
522,0
523,1
524,1
525,0
526,1
527,0
528,1
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,1
541,1
542,0
543,0
544,1
545,0
546,0
547,0
548,1
549,1
550,1
551,1
552,0
553,0
554,0
555,0
556,1
557,0
558,0
559,1
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,1
570,0
571,0
572,1
573,1
574,0
575,0
576,1
577,0
578,1
579,1
580,1
581,1
582,1
583,0
584,1
585,1
586,0
587,0
588,1
589,0
590,0
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,1
602,1
603,0
604,0
605,0
606,0
607,1
608,1
609,0
610,0
611,1
612,0
613,0
614,1
615,0
616,1
617,0
618,0
619,0
620,1
621,0
622,1
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,1
631,0
632,1
633,0
634,1
635,0
636,0
637,0
638,0
639,1
640,0
641,0
642,0
643,0
644,0
645,0
646,1
647,1
648,1
649,1
650,0
651,0
652,0
653,0
654,1
655,1
656,1
657,0
658,0
659,1
660,1
661,1
662,1
663,1
664,0
665,0
666,1
667,1
668,0
669,0
670,0
671,0
672,1
673,1
674,0
675,1
676,0
677,0
678,1
679,1
680,1
681,0
682,1
683,0
684,1
685,0
686,1
687,1
688,0
689,0
690,1
691,0
692,1
693,1
694,1
695,0
696,1
697,1
698,0
699,0
700,0
701,1
702,0
703,0
704,0
705,1
706,0
707,0
708,0
709,0
710,1
711,1
712,0
713,0
714,1
715,1
716,1
717,1
718,1
719,1
720,0
721,1
722,0
723,0
724,0
725,0
726,0
727,0
728,1
729,0
730,0
731,1
732,0
733,1
734,0
735,0
736,0
737,1
738,0
739,0
740,1
741,0
742,0
743,1
744,1
745,0
746,1
747,0
748,1
749,0
750,0
751,1
752,0
753,1
754,1
755,0
756,0
757,0
758,0
759,1
760,0
761,0
762,1
763,1
764,0
765,1
766,1
767,1
768,0
769,1
770,1
771,1
772,0
773,0
774,0
775,0
776,1
777,1
778,1
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,1
788,1
789,1
790,0
791,1
792,0
793,0
794,0
795,1
796,0
797,1
798,1
799,1
800,1
801,1
802,1
803,0
804,1
805,1
806,0
807,0
808,1
809,1
810,1
811,0
812,0
813,0
814,0
815,0
816,1
817,1
818,1
819,1
820,0
821,0
822,0
823,1
824,0
825,1
826,1
827,0
828,0
829,1
830,0
831,1
832,0
833,0
834,0
835,0
836,0
837,0
838,1
839,0
840,1
841,1
842,1
843,1
844,0
845,1
846,0
847,0
848,0
849,1
850,1
851,0
852,0
853,0
854,1
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,1
865,0
866,1
867,0
868,0
869,0
870,0
871,1
872,0
873,0
874,0
875,0
876,0
877,1
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,1
886,1
887,0
888,0
889,0
890,1
891,1
892,1
893,1
894,0
895,0
896,1
897,1
898,0
899,1
900,0
901,0
902,0
903,0
904,0
905,1
906,0
907,1
908,1
909,0
910,0
911,1
912,1
913,0
914,1
915,0
916,1
917,1
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,1
933,0
934,0
935,1
936,1
937,0
938,1
939,1
940,1
941,1
942,0
943,1
944,0
945,1
946,0
947,1
948,1
949,0
950,0
951,1
952,0
953,1
954,1
955,1
956,1
957,1
958,1
959,0
960,0
961,1
962,0
963,0
964,1
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,1
973,1
974,1
975,1
976,0
977,0
978,1
979,1
980,0
981,0
982,1
983,0
984,0
985,1
986,1
987,0
988,0
989,1
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,1
998,1
999,1
1000,0
1001,0
1002,0
1003,1
1004,0
1005,0
1006,1
1007,0
1008,0
1009,0
1010,0
1011,0
1012,1
1013,1
1014,0
1015,0
1016,1
1017,0
1018,1
1019,1
1020,1
1021,0
1022,1
1023,1
1024,0
1025,0
1026,0
1027,1
1028,0
1029,1
1030,0
1031,1
1032,1
1033,0
1034,0
1035,0
1036,0
1037,1
1038,0
1039,0
1040,1
1041,0
1042,1
1043,1
1044,0
1045,0
1046,0
1047,1
1048,1
1049,0
1050,0
1051,1
1052,0
1053,1
1054,0
1055,0
1056,0
1057,1
1058,1
1059,1
1060,1
